Date,Open,High,Low,Close,Adj Close,Volume
2022-09-15,2.259999990463257,2.299999952316284,2.200000047683716,2.200000047683716,2.200000047683716,551100
2022-09-16,2.190000057220459,2.190000057220459,1.8300000429153442,1.9500000476837158,1.9500000476837158,1447000
2022-09-19,1.8200000524520874,1.8300000429153442,1.5299999713897705,1.6100000143051147,1.6100000143051147,1195100
2022-09-20,1.5399999618530273,1.6399999856948853,1.4900000095367432,1.5499999523162842,1.5499999523162842,461400
2022-09-21,1.5199999809265137,1.5399999618530273,1.309999942779541,1.3300000429153442,1.3300000429153442,1135500
2022-09-22,1.2400000095367432,1.2699999809265137,1.1299999952316284,1.1699999570846558,1.1699999570846558,847000
2022-09-23,1.159999966621399,2.0999999046325684,1.159999966621399,1.6299999952316284,1.6299999952316284,40327700
2022-09-26,1.4500000476837158,1.5299999713897705,1.309999942779541,1.4199999570846558,1.4199999570846558,2499300
2022-09-27,1.4299999475479126,1.7400000095367432,1.3700000047683716,1.4199999570846558,1.4199999570846558,4356000
2022-09-28,1.3799999952316284,1.6299999952316284,1.3300000429153442,1.6299999952316284,1.6299999952316284,1062600
2022-09-29,1.6100000143051147,1.659999966621399,1.5199999809265137,1.6299999952316284,1.6299999952316284,563300
2022-09-30,1.5700000524520874,1.899999976158142,1.5700000524520874,1.850000023841858,1.850000023841858,1235400
2022-10-03,1.850000023841858,2.2699999809265137,1.7799999713897705,2.190000057220459,2.190000057220459,2189900
2022-10-04,2.1600000858306885,2.1700000762939453,1.809999942779541,1.8899999856948853,1.8899999856948853,4981800
2022-10-05,1.809999942779541,1.8799999952316284,1.6200000047683716,1.7200000286102295,1.7200000286102295,1178500
2022-10-06,1.7200000286102295,1.7899999618530273,1.6200000047683716,1.7300000190734863,1.7300000190734863,727600
2022-10-07,1.6799999475479126,1.7899999618530273,1.5700000524520874,1.6699999570846558,1.6699999570846558,671300
2022-10-10,1.649999976158142,1.7000000476837158,1.5499999523162842,1.590000033378601,1.590000033378601,318100
2022-10-11,1.5,1.7200000286102295,1.4199999570846558,1.690000057220459,1.690000057220459,461400
2022-10-12,1.649999976158142,1.7400000095367432,1.600000023841858,1.7100000381469727,1.7100000381469727,269100
2022-10-13,1.6200000047683716,1.8200000524520874,1.5800000429153442,1.7999999523162842,1.7999999523162842,260200
2022-10-14,1.7999999523162842,1.8700000047683716,1.7599999904632568,1.840000033378601,1.840000033378601,186400
